334,"Spa Theatre","Saratoga Springs, NY"
335,"McCarter Theatre","Princeton, NJ"
336,"Silvermine Festival","Norwalk, CT"
337,"Hotel Plaza","Manhattan, NY"
338,"Hall of Music World's Fair Grounds","Queens, NY"
339,"Masonic Temple","Scranton, PA"
340,"Museum of Art","Toledo, OH"
341,"Central High School","Kalamazoo, MI"
342,"Auditorium Theatre","Chicago, IL"
343,"Palace Theatre","Hamilton, CANADA"
344,"Capitol Theatre","Ottawa, CANADA"
345,"Proctor High School Auditorium","Utica, NY"
346,"William Penn High School","York, PA"
347,"Saginaw Auditorium","Saginaw, MI"
348,"Prudden Auditorium","Lansing, MI"
349,"Shrine Auditorium","Ft. Wayne, IN"
350,"Music Hall","Cincinnati, OH"
351,"New York State Amphitheatre","Queens, NY"
352,"Plaza Hotel","Manhattan, NY"
353,"Camp Kilmer","New Brunswick, NJ"
354,"U.S.S. Prairie State","Manhattan, NY"
355,"Mitchel Field","Hempstead, NY"
356,"Fort Monmouth","Red Bank, NJ"
357,"High School","Poughkeepsie, NY"
358,"Municipal Auditorium","Kingston, NY"
359,"Hunter College","Manhattan, NY"
360,"NY City Center","Manhattan, NY"
361,"Halloran Hospital","Staten Island, NY"
362,"War Department Theatre","West Point, NY"
363,"Whithorne Residence","LYME, CT"
364,"High School Auditorium","Norwalk, CT"
365,"Memorial Auditorium","Worcester, MA"
366,"Unknown Venue","Norfolk, VA"
367,"Unknown Venue","Richmond, VA"
368,"Unknown Venue","Raleigh, NC"
369,"Page Auditorium","Durham, NC"
370,"Converse Auditorium","Spartanburg, SC"
371,"Unknown Venue","Atlanta, GA"
372,"Municipal Auditorium","Atlanta, GA"
373,"Alumni Memorial Auditorium","Knoxville, TN"
374,"Municipal Auditorium","Birmingham, AL"
375,"Sidney Lanier Auditorium","Montgomery, AL"
376,"Unknown Venue","New Orleans, LA"
377,"Auditorium","Memphis, TN"
378,"Jefferson County Armory","Louisville, KY"
379,"Kiel Opera House","St. Louis, MO"
380,"Masonic Auditorium","Detroit, MI"
381,"Municipal Auditorium","Charleston, WV"
382,"Kleinhans Music Hall","Buffalo, NY"
383,"Lincoln Auditorium","Syracuse, NY"
384,"Music Hall","Cleveland, OH"
385,"Stock Pavilion","Madison, WI"
386,"College Auditorium","East Lansing, MI"
387,"Stanley Theater","Utica, NY"
388,"City Hall Auditorium","Portland, ME"
389,"Unknown Venue","White Plains, NY"
390,"Columbia Music Festival","Columbia, SC"
391,"Unknown Venue","Spartanburg, SC"
392,"American Legion Auditorium","Roanoke, VA"
393,"Indiana University Auditorium","Bloomington, IN"
394,"Sports Arena","Toledo, OH"
395,"Roxy Theatre","Manhattan, NY"
396,"Rutgers University","New Brunswick, NJ"
397,"Usher Hall","Edinburgh, SCOTLAND"
398,"Glen Cove High School","Glen Cove, NY"
399,"R.P.I. Field House","Troy, NY"
400,"Ebbets Field","Brooklyn, NY"
401,"Junior (North) High School","Great Neck, NY"
402,"Roslyn High School","Roslyn, NY"
403,"Prospect Heights High School","Brooklyn, NY"
404,"Richmond Hill High School","Richmond Hill, NY"
405,"Junior High School (R.K. Toaz)","Huntington, NY"
406,"Julia Richman High School","Manhattan, NY"
407,"Dewitt Clinton High School","Bronx, NY"
408,"Salve Regina College","Newport, RH"
409,"High School Gymnasium","Manhasset, NY"
410,"Keith-Albee Theatre","Huntington, WV"
411,"Unknown Venue","Lexington, KY"
412,"Clemson College","Clemson, SC"
413,"Township Auditorium","Columbia, SC"
414,"Armory Auditorium","Charlotte, NC"
415,"Aycock Auditorium","Greensboro, NC"
416,"Glass Center","Corning, NY"
417,"Newport Casino","Newport, RH"
418,"Westchester County Center","White Plains, NY"
419,"Senior (North) High School","Great Neck, NY"
420,"Riverside Church","Manhattan, NY"
421,"Purdue Hall of Music","Lafayette, IN"
422,"George Huff Gymnasium","Urbana-Champaign, IL"
423,"Music Hall","Kansas City, MO"
424,"Unknown Venue","Topeka, KS"
425,"Unknown Venue","Albuquerque, NM"
426,"The Coliseum","El Paso, TX"
427,"University of Arizona","Tucson, AZ"
428,"Montgomery Stadium","Phoenix, AZ"
429,"Civic Auditorium","Pasadena, CA"
430,"Shrine Auditorium","Los Angeles, CA"
431,"Russ Auditorium","San Diego, CA"
432,"Granada Theater","Santa Barbara, CA"
433,"Warners Fresno Theatre","Fresno, CA"
434,"War Memorial Performing Arts Center","San Francisco, CA"
435,"McArthur Court Auditorium","Eugene, OR"
436,"Gill Coliseum","Corvallis, OR"
437,"Unknown Venue","Seattle, WA"
438,"Public Auditorium","Portland, OR"
439,"Smith Fieldhouse (George Albert)","Provo, UT"
440,"Symphony Society Auditorium","Denver, CO"
441,"Ak-Sar-Ben Coliseum","Omaha, NE"
442,"State Gymnasium","Ames, IA"
443,"Northrop Memorial Auditorium","Minneapolis, MN"
444,"Wiener Konzerthaus (Grosser Saal)","Vienna, AUSTRIA"
445,"Titania Palast","Berlin, GERMANY"
446,"Theâtre des Champs-Élysées","Paris, FRANCE"
447,"Victoria Hall","Geneva, SWITZERLAND"
448,"Musiksaal des Kasinos","Basel, SWITZERLAND"
449,"Casino","Berne, SWITZERLAND"
450,"Teatro Morlacchi","Perugia, ITALY"
451,"Teatro Argentina","Rome, ITALY"
452,"Teatro di San Carlo","Naples, ITALY"
453,"Orpheus Hall","Athens, GREECE"
454,"Festival Hall","London, ENGLAND"
455,"United Nations General Assembly Hall","Manhattan, NY"
456,"Metropolitan Museum of Art","Manhattan, NY"
457,"Paramount Theatre","Staten Island, NY"
458,"Community Theater","Kingston, NY"
459,"Loew's State Theater","Syracuse, NY"
460,"Garden City High School","Garden City, NY"
461,"Brooklyn Center for the Performing Arts, Whitman Hall","Brooklyn, NY"
462,"Rio Theatre","Panama City, PANAMA"
463,"Aula Magna","Caracas, VENEZUELA"
464,"Concha Acustica","Caracas, VENEZUELA"
465,"Club Alianza","Maracaibo, VENEZUELA"
466,"Teatro Colón","Bogota, COLOMBIA"
467,"Teatro Colombia","Bogota, COLOMBIA"
468,"Teatro Junín","Medellin, COLOMBIA"
469,"Teatro Municipal","Cali, COLOMBIA"
470,"Teatro 9 de Octubre","Guayaquil, ECUADOR"
471,"Teatro Bolivar","Quito, ECUADOR"
472,"Municipal Theatre","Lima, PERU"
473,"Teatro Municipal","La Paz, BOLIVIA"
474,"Teatro Municipal","Asuncion, PARAGUAY"
475,"Teatro Astor","Santiago, CHILE"
476,"Municipale de Vina del Mar","Vina Del Mar, CHILE"
477,"Caupolicán","Santiago, CHILE"
478,"Teatro Gran Rex","Mendoza, ARGENTINA"
479,"Estudio Auditorio","Montevideo, URUGUAY"
480,"Teatro Colón","Buenos Aires, ARGENTINA"
481,"Teatro Rivera Indarte","Cordoba, ARGENTINA"
482,"University Auditorium","Porto Alegre, BRAZIL"
483,"Teatro Municipal","Sao Paulo, BRAZIL"
484,"Anhangabau","Sao Paulo, BRAZIL"
485,"Teatro Municipal","Rio De Janeiro, BRAZIL"
486,"Maracanazinho","Rio De Janeiro, BRAZIL"
487,"Palacio de Bellas Artes","Mexico City, MEXICO"
488,"Auditorio Nacional","Mexico City, MEXICO"
489,"City Hall","Manhattan, NY"
490,"Veterans' Memorial Auditorium","Providence, RI"
491,"Dwight Morrow High School","Englewood, NJ"
492,"Public Special","Manhattan, NY"
493,"Herodes Atticus Theatre","Athens, GREECE"
494,"Court of the Altar","Baalbeck, LEBANON"
495,"Acik Hava Tiyatrosu","Istanbul, TURKEY"
496,"Y.M.C.A. Stadium","Thessalonika, GREECE"
497,"Festspielhaus","Salzburg, AUSTRIA"
498,"Filharmonia Narodowa","Warsaw, POLAND"
499,"Sala Kongresowa","Warsaw, POLAND"
500,"Tchaikovsky Conservatory Hall","Moscow, USSR"
501,"Bolshoi Hall","Leningrad, USSR"
502,"Bolshoi Zal","Kiev, USSR"
503,"Kurhaus","Scheveningen, NETHERLANDS"
504,"Rheinhalle","Dusseldorf, GERMANY"
505,"Staedtischer Saalbau","Essen, GERMANY"
506,"Kurhaus-Saal","Wiesbaden, W. GERMANY"
507,"International Fair Hall","Luxembourg, LUXEMBOURG"
508,"Palais de Chaillot","Paris, FRANCE"
509,"Deutsches Museum","Munich, GERMANY"
510,"Dom Sindikatu","Belgrade, SERBIA"
511,"Centar","Zagreb, CROATIA"
512,"Teatro La Fenice","Venice, ITALY"
513,"Musikhalle","Hamburg, GERMANY"
514,"Hochschule Fuer Musik","Berlin, GERMANY"
515,"Folketeatret","Oslo, NORWAY"
516,"Small Fair Hall","Helsinki, FINLAND"
517,"Concert House","Turku (Abo), FINLAND"
518,"Konserthuset","Stockholm, SWEDEN"
519,"Konserthuset","Goteborg, SWEDEN"
520,"Unknown Venue","Garden City, NY"
521,"Unknown Venue","Worcester, MA"
522,"Unknown Venue","Bridgeport, CT"
523,"White House","Washington, DC"
524,"Convention Hall Ballroom","Atlantic City, NJ"
525,"Red Rocks Theater","Denver, CO"
526,"The Forum","Vancouver, BC, CANADA"
527,"Queen Elizabeth Theatre","Vancouver, BC, CANADA"
528,"Civic Auditorium","Seattle, WA"
529,"P.I. Centennial Building","Portland, OR"
530,"Waikiki Shell","Honolulu, HI"
531,"Berkeley Community Theatre","Berkeley, CA"
532,"Convention Center","Las Vegas, NV"
533,"Balboa Park Bowl","San Diego, CA"
534,"Hollywood Bowl","Hollywood, CA"
535,"Opera House","Chicago, IL"
536,"Ellis Auditorium","Memphis, TN"
537,"Municipal Auditorium","New Orleans, LA"
538,"Memorial Auditorium","Chattanooga, TN"
539,"Ovens Auditorium","Charlotte, NC"
540,"Senders Freies Berlin","Berlin, GERMANY"
541,"Colden Auditorium, Queens College","Queens, NY"
542,"William Neal Reynolds Coliseum","Raleigh, NC"
543,"Bunka Kaikan","Tokyo, JAPAN"
544,"Tokyo Gymnasium","Tokyo, JAPAN"
545,"City Hall","Shizuoka, JAPAN"
546,"City Hall","Nagoya, JAPAN"
547,"Sankei Hall","Osaka, JAPAN"
548,"Osaka Gymnasium","Osaka, JAPAN"
549,"Public Hall","Kobe, JAPAN"
550,"Kodaira Memorial Hall","Hitachi City, JAPAN"
551,"Romig Hill Auditorium","Anchorage, AK"
552,"Winnipeg Auditorium","Winnipeg, CANADA"
553,"O'Keefe Centre","Toronto, CANADA"
554,"Stanley Theater","Jersey City, NJ"
555,"Delaware Valley Garden","Cherry Hill, NJ"
556,"Philharmonic Hall","Manhattan, NY"
557,"Free Trade Hall","Manchester, ENGLAND"
558,"Municipal Auditorium","Miami Beach, FL"
559,"Dade County Auditorium","Miami, FL"
560,"Miami Beach Auditorium","Miami Beach, FL"
561,"War Memorial Auditorium","Ft. Lauderdale, FL"
562,"Monterey County Fairgrounds","Monterey, CA"
563,"Auditorium Arena","Denver, CO"
564,"Temple of Music","Milwaukee, WI"
565,"Mershon Auditorium","Columbus, OH"
566,"Civic Arena","Pittsburgh, PA"
567,"Civic Center","Baltimore, MD"
568,"CBS Studio","Manhattan, NY"
569,"Washington Avenue Armory","Albany, NY"
570,"Place des Arts","Montreal, CANADA"
571,"L.I. Festival Tent","Greenvale, NY"
572,"Sheep Meadow","Manhattan, NY"
573,"Prospect Park","Brooklyn, NY"
574,"NY Botanical Garden","Bronx, NY"
575,"Crocheron Park","Queens, NY"
576,"Clove Lake Park","Staten Island, NY"
577,"Symphony Hall","Newark, NJ"
578,"Villanova University","Villanova, PA"
579,"Jorgensen Auditorium","Storrs, CT"
580,"CWP Auditorium","Greenvale, NY"
581,"Assembly Hall","Urbana-Champaign, IL"
582,"Jubilee Auditorium","Calgary, CANADA"
583,"Jubilee Auditorium","Vancouver, BC, CANADA"
584,"Jubilee Auditorium","Edmonton, CANADA"
585,"Centennial Hall","London, CANADA"
586,"Halifax Forum","Halifax, CANADA"
587,"St. Regis Hotel","Manhattan, NY"
588,"Half Hollow Hills HS Auditorium","Huntington/Babylon, NY"
589,"Koninklijke Opera","Ghent, BELGIUM"
590,"Kultur- und Kongresszentrum Luzern","Luzerne, SWITZERLAND"
591,"Binyanei Ha'ooma","Jerusalem, ISRAEL"
592,"Roman Theater","Caesarea, ISRAEL"
593,"Teatro Comunale","Florence, ITALY"
594,"Theatre de L'Opera","Monte Carlo, MONACO"
595,"Salle du Pavillon","Montreux, SWITZERLAND"
596,"Beethovenhalle","Bonn, GERMANY"
597,"Jahrhunderthalle Hoechst","Frankfurt, GERMANY"
598,"Tivoli Gardens Concert Hall","Copenhagen, DENMARK"
599,"Art Museum","Allentown, PA"
600,"Municipal Auditorium","West Palm Beach, FL"
601,"Garden State Arts Center","Holmdel, NJ"
602,"Yale Bowl","New Haven, CT"
603,"National Arts Centre","Ottawa, CANADA"
604,"Meadowbrook Music Festival","Rochester, MI"
605,"Masonic Auditorium","San Francisco, CA"
606,"C.Y. Stephens Auditorium","Ames, IA"
607,"Edman Memorial Chapel","Wheaton, IL"
608,"Union Theater","Madison, WI"
609,"Milwaukee War Memorial PAC","Milwaukee, WI"
610,"Festival Hall","Osaka, JAPAN"
611,"The Sport Center","Fukuoka, JAPAN"
612,"Kyoto Kaikan","Kyoto, JAPAN"
613,"Concert Hall (Aichi)","Nagoya, JAPAN"
614,"Fuji Gakuen Hall","Sapporo, JAPAN"
615,"Civic Center","Atlanta, GA"
616,"Memorial Auditorium","Greenville, SC"
617,"Felt Forum","Manhattan, NY"
618,"Co-op City","Bronx, NY"
619,"Electric Industry Center","Queens, NY"
620,"National Maritime Union","Brooklyn, NY"
621,"Cunningham Park","Queens, NY"
622,"Van Cortlandt Park","Bronx, NY"
623,"Orrie De Nooyer Auditorium","Hackensack, NJ"
624,"John F. Kennedy Center for the Performing Arts","Washington, DC"
625,"The Public Theater","Manhattan, NY"
626,"High School of Music & Art","Manhattan, NY"
